analysis_level,Feature,RF_fold_selection_frequency,univariate_fold_selection_frequency,plsda_fold_selection_frequency,mean_selection_frequency,detection_rate,stable_by_both_criteria
animal-level,54.04,0.342,0.947,1.0,0.6445,1.0,False
animal-level,78.02,0.263,1.0,0.0,0.6315,0.984,False
animal-level,152.03,0.184,0.974,0.0,0.579,0.417,False
animal-level,131.08,0.105,0.0,0.0,0.0525,0.807,False
animal-level,167.05,0.079,0.816,0.0,0.44749999999999995,0.401,False
animal-level,143.08,0.079,1.0,0.0,0.5395,0.406,False
animal-level,60.07,0.053,0.0,0.0,0.0265,0.99,False
animal-level,133.1,0.026,0.947,0.0,0.4865,0.453,False
animal-level,81.02,0.026,0.0,1.0,0.013,0.984,False
animal-level,139.04,0.026,1.0,0.0,0.513,0.365,False
animal-level,51.01,0.026,0.079,0.0,0.0525,1.0,False
animal-level,98.07,0.026,0.079,0.0,0.0525,0.833,False
animal-level,168.93,0.0,0.0,0.0,0.0,0.078,False
animal-level,245.05,0.0,0.0,0.0,0.0,0.0,False
animal-level,168.26,0.0,0.0,0.0,0.0,0.0,False
animal-level,69.3,0.0,0.0,0.0,0.0,0.0,False
animal-level,168.07,0.0,0.0,0.0,0.0,0.224,False
animal-level,61.02,0.0,0.0,0.0,0.0,0.219,False
animal-level,166.05,0.0,0.0,0.0,0.0,0.682,False
animal-level,165.79,0.0,0.0,0.0,0.0,0.005,False
animal-level,165.04,0.0,0.0,0.0,0.0,0.5,False
animal-level,164.9,0.0,0.0,0.0,0.0,0.464,False
animal-level,164.26,0.0,0.0,0.0,0.0,0.0,False
animal-level,163.87,0.0,0.0,0.0,0.0,0.0,False
animal-level,161.01,0.0,0.0,0.0,0.0,0.354,False
animal-level,160.05,0.0,0.0,0.0,0.0,0.005,False
animal-level,159.72,0.0,0.0,0.0,0.0,0.0,False
animal-level,165.39,0.0,0.0,0.0,0.0,0.0,False
animal-level,180.88,0.0,0.0,0.0,0.0,0.698,False
animal-level,180.04,0.0,0.0,0.0,0.0,0.0,False
animal-level,179.05,0.0,0.0,0.0,0.0,0.167,False
animal-level,178.05,0.0,0.0,0.0,0.0,0.234,False
animal-level,176.87,0.0,0.0,0.0,0.0,0.099,False
animal-level,248.93,0.0,0.0,0.0,0.0,0.0,False
animal-level,173.87,0.0,0.0,0.0,0.0,0.052,False
animal-level,169.08,0.0,0.0,0.0,0.0,0.042,False
animal-level,172.82,0.0,0.0,0.0,0.0,0.0,False
animal-level,172.09,0.0,0.0,0.0,0.0,0.0,False
animal-level,171.89,0.0,0.0,0.0,0.0,0.0,False
animal-level,171.64,0.0,0.0,0.0,0.0,0.0,False
animal-level,171.06,0.0,0.0,0.0,0.0,0.104,False
animal-level,170.82,0.0,0.0,0.0,0.0,0.0,False
animal-level,170.11,0.0,0.0,0.0,0.0,0.0,False
animal-level,169.91,0.0,0.0,0.0,0.0,0.0,False
animal-level,173.13,0.0,0.0,0.0,0.0,0.005,False
animal-level,154.66,0.0,0.0,0.0,0.0,0.0,False
animal-level,154.33,0.0,0.0,0.0,0.0,0.0,False
animal-level,154.04,0.0,0.0,0.0,0.0,0.141,False
animal-level,153.02,0.0,0.974,0.0,0.487,0.354,False
animal-level,152.45,0.0,0.0,0.0,0.0,0.0,False
animal-level,65.18,0.0,0.0,0.0,0.0,0.0,False
animal-level,66.21,0.0,0.0,0.0,0.0,0.0,False
animal-level,159.1,0.0,0.0,0.0,0.0,0.302,False
animal-level,151.21,0.0,0.0,0.0,0.0,0.0,False
animal-level,150.94,0.0,0.0,0.0,0.0,0.005,False
animal-level,150.41,0.0,0.0,0.0,0.0,0.0,False
animal-level,68.27,0.0,0.0,0.0,0.0,0.0,False
animal-level,150.04,0.0,0.0,0.0,0.0,0.927,False
animal-level,149.14,0.0,0.0,0.0,0.0,0.026,False
animal-level,148.93,0.0,0.0,0.0,0.0,0.0,False
animal-level,147.99,0.0,0.0,0.0,0.0,0.031,False
animal-level,67.25,0.0,0.0,0.0,0.0,0.0,False
animal-level,158.89,0.0,0.0,0.0,0.0,0.604,False
animal-level,158.52,0.0,0.0,0.0,0.0,0.0,False
animal-level,158.22,0.0,0.0,0.0,0.0,0.016,False
animal-level,157.87,0.0,0.0,0.0,0.0,0.167,False
animal-level,157.78,0.0,0.0,0.0,0.0,0.0,False
animal-level,157.41,0.0,0.0,0.0,0.0,0.0,False
animal-level,157.08,0.0,0.0,0.0,0.0,0.182,False
animal-level,154.85,0.0,0.0,0.0,0.0,0.005,False
animal-level,156.65,0.0,0.0,0.0,0.0,0.021,False
animal-level,156.3,0.0,0.0,0.0,0.0,0.0,False
animal-level,63.0,0.0,0.0,0.0,0.0,0.995,False
animal-level,156.05,0.0,0.0,0.0,0.0,0.021,False
animal-level,155.69,0.0,0.0,0.0,0.0,0.0,False
animal-level,64.03,0.0,0.0,0.0,0.0,0.833,False
animal-level,155.44,0.0,0.0,0.0,0.0,0.0,False
animal-level,155.06,0.0,0.0,0.0,0.0,0.312,False
animal-level,61.98,0.0,0.0,0.0,0.0,0.339,False
animal-level,248.47,0.0,0.0,0.0,0.0,0.0,False
animal-level,229.53,0.0,0.0,0.0,0.0,0.0,False
animal-level,248.76,0.0,0.0,0.0,0.0,0.0,False
animal-level,229.2,0.0,0.0,0.0,0.0,0.0,False
animal-level,228.51,0.0,0.0,0.0,0.0,0.0,False
animal-level,228.2,0.0,0.0,0.0,0.0,0.0,False
animal-level,226.07,0.0,0.0,0.0,0.0,0.01,False
animal-level,181.09,0.0,0.0,0.0,0.0,0.005,False
animal-level,224.3,0.0,0.0,0.0,0.0,0.021,False
animal-level,224.1,0.0,0.0,0.0,0.0,0.646,False
animal-level,222.03,0.0,0.0,0.0,0.0,0.083,False
animal-level,215.06,0.0,0.0,0.0,0.0,0.005,False
animal-level,214.83,0.0,0.0,0.0,0.0,0.135,False
animal-level,213.56,0.0,0.0,0.0,0.0,0.0,False
animal-level,212.83,0.0,0.0,0.0,0.0,0.24,False
animal-level,211.59,0.0,0.0,0.0,0.0,0.0,False
animal-level,225.43,0.0,0.0,0.0,0.0,0.005,False
animal-level,247.45,0.0,0.0,0.0,0.0,0.0,False
animal-level,247.17,0.0,0.0,0.0,0.0,0.0,False
animal-level,246.94,0.0,0.0,0.0,0.0,0.0,False
animal-level,246.72,0.0,0.0,0.0,0.0,0.0,False
animal-level,246.44,0.0,0.0,0.0,0.0,0.0,False
animal-level,246.13,0.0,0.0,0.0,0.0,0.0,False
animal-level,247.74,0.0,0.0,0.0,0.0,0.0,False
animal-level,246.04,0.0,0.0,0.0,0.0,0.0,False
animal-level,230.0,0.0,0.0,0.0,0.0,0.0,False
animal-level,58.06,0.0,0.0,0.447,0.0,1.0,False
animal-level,231.66,0.0,0.0,0.0,0.0,0.0,False
animal-level,231.46,0.0,0.0,0.0,0.0,0.0,False
animal-level,231.22,0.0,0.0,0.0,0.0,0.0,False
animal-level,231.04,0.0,0.0,0.0,0.0,0.0,False
animal-level,247.94,0.0,0.0,0.0,0.0,0.0,False
animal-level,230.54,0.0,0.0,0.0,0.0,0.0,False
animal-level,248.17,0.0,0.0,0.0,0.0,0.0,False
animal-level,245.44,0.0,0.0,0.0,0.0,0.0,False
animal-level,191.06,0.0,0.0,0.0,0.0,0.016,False
animal-level,190.82,0.0,0.0,0.0,0.0,0.0,False
animal-level,147.15,0.0,0.0,0.0,0.0,0.0,False
animal-level,190.26,0.0,0.0,0.0,0.0,0.0,False
animal-level,190.09,0.0,0.0,0.0,0.0,0.0,False
animal-level,189.86,0.0,0.0,0.0,0.0,0.0,False
animal-level,189.04,0.0,0.0,0.0,0.0,0.062,False
animal-level,211.33,0.0,0.0,0.0,0.0,0.016,False
animal-level,187.85,0.0,0.0,0.0,0.0,0.0,False
animal-level,186.86,0.0,0.0,0.0,0.0,0.0,False
animal-level,185.93,0.0,0.0,0.0,0.0,0.0,False
animal-level,185.05,0.0,0.0,0.0,0.0,0.0,False
animal-level,184.23,0.0,0.0,0.0,0.0,0.0,False
animal-level,184.1,0.0,0.0,0.0,0.0,0.005,False
animal-level,182.93,0.0,0.0,0.0,0.0,0.031,False
animal-level,182.0,0.0,0.0,0.0,0.0,0.005,False
animal-level,188.82,0.0,0.0,0.0,0.0,0.0,False
animal-level,209.59,0.0,0.0,0.0,0.0,0.0,False
animal-level,209.37,0.0,0.0,0.0,0.0,0.0,False
animal-level,207.01,0.0,0.0,0.0,0.0,0.01,False
animal-level,206.56,0.0,0.0,0.0,0.0,0.0,False
animal-level,206.34,0.0,0.0,0.0,0.0,0.0,False
animal-level,206.07,0.0,0.0,0.0,0.0,0.0,False
animal-level,206.02,0.0,0.0,0.0,0.0,0.021,False
animal-level,205.04,0.0,0.0,0.0,0.0,0.005,False
animal-level,192.8,0.0,0.0,0.0,0.0,0.0,False
animal-level,202.86,0.0,0.0,0.0,0.0,0.0,False
animal-level,202.05,0.0,0.0,0.0,0.0,0.026,False
animal-level,200.84,0.0,0.0,0.0,0.0,0.0,False
animal-level,199.76,0.0,0.0,0.0,0.0,0.0,False
animal-level,198.85,0.0,0.0,0.0,0.0,0.125,False
animal-level,197.79,0.0,0.0,0.0,0.0,0.0,False
animal-level,196.85,0.0,0.0,0.0,0.0,0.505,False
animal-level,195.81,0.0,0.0,0.0,0.0,0.0,False
animal-level,203.06,0.0,0.0,0.0,0.0,0.005,False
animal-level,87.03,0.0,0.0,0.0,0.0,0.932,False
animal-level,86.83,0.0,0.0,0.0,0.0,0.0,False
animal-level,86.24,0.0,0.0,0.0,0.0,0.0,False
animal-level,86.1,0.0,0.0,0.868,0.0,0.958,False
animal-level,85.65,0.0,0.0,0.0,0.0,0.0,False
animal-level,85.11,0.0,0.0,0.0,0.0,0.312,False
animal-level,85.03,0.0,0.0,0.0,0.0,0.24,False
animal-level,84.64,0.0,0.0,0.0,0.0,0.0,False
animal-level,142.04,0.0,0.0,0.0,0.0,0.427,False
animal-level,83.61,0.0,0.0,0.0,0.0,0.0,False
animal-level,83.11,0.0,0.0,0.0,0.0,0.0,False
animal-level,83.04,0.0,0.0,1.0,0.0,0.938,False
animal-level,82.62,0.0,0.0,0.0,0.0,0.0,False
animal-level,82.07,0.0,0.0,0.0,0.0,0.953,False
animal-level,81.58,0.0,0.0,0.0,0.0,0.0,False
animal-level,81.11,0.0,0.0,0.0,0.0,0.0,False
animal-level,80.55,0.0,0.0,0.0,0.0,0.0,False
animal-level,84.07,0.0,0.0,0.0,0.0,0.943,False
animal-level,97.09,0.0,0.0,0.0,0.0,0.88,False
animal-level,96.92,0.0,0.0,0.0,0.0,0.99,False
animal-level,96.09,0.0,0.0,0.0,0.0,0.927,False
animal-level,95.09,0.0,0.0,0.079,0.0,0.708,False
animal-level,94.98,0.0,0.0,0.0,0.0,0.641,False
animal-level,94.08,0.0,0.0,0.0,0.0,0.188,False
animal-level,94.06,0.0,0.0,0.0,0.0,0.75,False
animal-level,93.07,0.0,0.0,0.0,0.0,0.964,False
animal-level,88.03,0.0,0.0,0.0,0.0,0.99,False
animal-level,92.06,0.0,0.0,0.0,0.0,0.969,False
animal-level,91.82,0.0,0.0,0.0,0.0,0.0,False
animal-level,91.04,0.0,0.0,0.0,0.0,0.969,False
animal-level,89.96,0.0,0.0,0.0,0.0,0.344,False
animal-level,89.8,0.0,0.0,0.0,0.0,0.0,False
animal-level,89.04,0.0,0.0,0.0,0.0,0.938,False
animal-level,88.6,0.0,0.0,0.0,0.0,0.0,False
animal-level,88.12,0.0,0.0,0.0,0.0,0.0,False
animal-level,92.93,0.0,0.0,0.0,0.0,0.0,False
animal-level,243.44,0.0,0.0,0.0,0.0,0.0,False
animal-level,243.03,0.0,0.0,0.0,0.0,0.0,False
animal-level,240.52,0.0,0.0,0.0,0.0,0.016,False
animal-level,239.51,0.0,0.0,0.0,0.0,0.031,False
animal-level,239.24,0.0,0.0,0.0,0.0,0.208,False
animal-level,237.48,0.0,0.0,0.0,0.0,0.031,False
animal-level,237.22,0.0,0.0,0.0,0.0,0.047,False
animal-level,234.78,0.0,0.0,0.0,0.0,0.0,False
animal-level,79.48,0.0,0.0,0.0,0.0,0.0,False
animal-level,232.69,0.0,0.0,0.0,0.0,0.0,False
animal-level,232.48,0.0,0.0,0.0,0.0,0.0,False
animal-level,232.24,0.0,0.0,0.0,0.0,0.0,False
animal-level,244.78,0.0,0.0,0.0,0.0,0.0,False
animal-level,57.03,0.0,0.0,1.0,0.0,1.0,False
animal-level,56.04,0.0,0.0,0.0,0.0,1.0,False
animal-level,50.01,0.0,0.0,0.0,0.0,0.818,False
animal-level,249.96,0.0,0.0,0.0,0.0,0.0,False
animal-level,233.72,0.0,0.0,0.0,0.0,0.0,False
animal-level,78.48,0.0,0.0,0.0,0.0,0.0,False
animal-level,77.45,0.0,0.0,0.0,0.0,0.0,False
animal-level,77.03,0.0,0.0,0.0,0.0,0.969,False
animal-level,76.42,0.0,0.0,0.0,0.0,0.0,False
animal-level,76.03,0.0,0.0,0.0,0.0,0.297,False
animal-level,75.42,0.0,0.0,0.0,0.0,0.0,False
animal-level,75.02,0.0,0.0,0.0,0.0,0.568,False
animal-level,74.4,0.0,0.0,0.0,0.0,0.0,False
animal-level,244.01,0.0,0.0,0.0,0.0,0.0,False
animal-level,73.05,0.0,0.0,0.0,0.0,0.755,False
animal-level,72.35,0.0,0.0,0.0,0.0,0.0,False
animal-level,72.03,0.0,0.0,0.0,0.0,1.0,False
animal-level,71.37,0.0,0.0,0.0,0.0,0.0,False
animal-level,71.05,0.0,0.0,0.0,0.0,0.88,False
animal-level,70.33,0.0,0.0,0.0,0.0,0.0,False
animal-level,70.06,0.0,0.0,0.0,0.0,0.995,False
animal-level,232.07,0.0,0.0,0.0,0.0,0.0,False
animal-level,244.44,0.0,0.0,0.0,0.0,0.0,False
animal-level,73.38,0.0,0.0,0.0,0.0,0.0,False
animal-level,130.06,0.0,0.026,0.0,0.013,0.474,False
animal-level,129.89,0.0,0.0,0.0,0.0,0.01,False
animal-level,129.05,0.0,0.0,0.0,0.0,0.932,False
animal-level,128.93,0.0,0.0,0.0,0.0,0.0,False
animal-level,128.05,0.0,0.0,0.0,0.0,0.938,False
animal-level,127.03,0.0,0.0,0.0,0.0,0.917,False
animal-level,125.93,0.0,0.0,0.0,0.0,0.177,False
animal-level,124.97,0.0,0.0,0.947,0.0,0.953,False
animal-level,98.95,0.0,0.0,0.0,0.0,0.948,False
animal-level,123.12,0.0,0.0,0.0,0.0,0.427,False
animal-level,122.92,0.0,0.0,0.0,0.0,0.146,False
animal-level,122.64,0.0,0.0,0.0,0.0,0.0,False
animal-level,122.11,0.0,0.0,0.0,0.0,0.016,False
animal-level,121.92,0.0,0.0,0.0,0.0,0.354,False
animal-level,121.6,0.0,0.0,0.0,0.0,0.0,False
animal-level,121.39,0.0,0.0,0.0,0.0,0.0,False
animal-level,121.1,0.0,0.0,0.0,0.0,0.76,False
animal-level,124.9,0.0,0.0,0.0,0.0,0.224,False
animal-level,147.04,0.0,0.0,0.0,0.0,0.161,False
animal-level,146.11,0.0,0.0,0.0,0.0,0.052,False
animal-level,145.95,0.0,0.0,0.0,0.0,0.01,False
animal-level,145.13,0.0,0.0,0.0,0.0,0.0,False
animal-level,144.08,0.0,0.0,0.0,0.0,0.141,False
animal-level,142.93,0.0,0.0,0.0,0.0,0.792,False
animal-level,59.06,0.0,0.0,0.0,0.0,0.995,False
animal-level,140.9,0.0,0.0,0.0,0.0,0.938,False
animal-level,130.89,0.0,0.0,0.0,0.0,0.005,False
animal-level,137.14,0.0,0.0,0.0,0.0,0.0,False
animal-level,136.92,0.0,0.0,0.0,0.0,0.078,False
animal-level,135.92,0.0,0.0,0.0,0.0,0.057,False
animal-level,135.08,0.0,0.0,0.0,0.0,0.24,False
animal-level,134.78,0.0,0.0,0.0,0.0,0.0,False
animal-level,134.1,0.0,0.0,0.0,0.0,0.031,False
animal-level,133.73,0.0,0.0,0.0,0.0,0.0,False
animal-level,132.91,0.0,0.0,0.0,0.0,0.089,False
animal-level,132.08,0.0,0.0,0.0,0.0,0.203,False
animal-level,138.9,0.0,0.0,0.0,0.0,0.036,False
animal-level,110.08,0.0,0.0,0.0,0.0,0.469,False
animal-level,109.1,0.0,0.0,0.0,0.0,0.927,False
animal-level,108.94,0.0,0.026,0.0,0.013,0.87,False
animal-level,108.09,0.0,0.0,0.0,0.0,0.547,False
animal-level,107.22,0.0,0.0,0.0,0.0,0.0,False
animal-level,107.07,0.0,0.0,0.0,0.0,0.927,False
animal-level,106.18,0.0,0.0,0.0,0.0,0.0,False
animal-level,106.02,0.0,0.0,0.0,0.0,0.969,False
animal-level,120.96,0.0,0.0,0.0,0.0,0.823,False
animal-level,105.06,0.0,0.0,0.0,0.0,0.927,False
animal-level,104.11,0.0,0.0,0.0,0.0,0.948,False
animal-level,103.98,0.0,0.0,1.0,0.0,0.964,False
animal-level,103.0,0.0,0.0,0.0,0.0,0.938,False
animal-level,102.07,0.0,0.0,0.0,0.0,0.969,False
animal-level,100.91,0.0,0.0,0.0,0.0,0.0,False
animal-level,100.11,0.0,0.0,0.0,0.0,0.818,False
animal-level,99.08,0.0,0.0,0.0,0.0,0.203,False
animal-level,105.14,0.0,0.0,0.0,0.0,0.0,False
animal-level,120.57,0.0,0.0,0.0,0.0,0.0,False
animal-level,120.08,0.0,0.0,0.0,0.0,0.557,False
animal-level,119.92,0.0,0.0,1.0,0.0,0.844,False
animal-level,119.53,0.0,0.0,0.0,0.0,0.0,False
animal-level,118.4,0.0,0.0,0.0,0.0,0.0,False
animal-level,117.38,0.0,0.0,0.0,0.0,0.0,False
animal-level,117.07,0.0,0.0,0.0,0.0,0.526,False
animal-level,116.99,0.0,0.0,0.0,0.0,0.573,False
animal-level,110.33,0.0,0.0,0.0,0.0,0.0,False
animal-level,116.04,0.0,0.0,0.0,0.0,0.938,False
animal-level,115.05,0.0,0.0,0.0,0.0,0.938,False
animal-level,114.9,0.0,0.0,0.0,0.0,0.807,False
animal-level,114.21,0.0,0.0,0.0,0.0,0.005,False
animal-level,113.09,0.0,0.0,0.0,0.0,0.031,False
animal-level,112.89,0.0,0.0,1.0,0.0,0.948,False
animal-level,112.24,0.0,0.0,0.0,0.0,0.0,False
animal-level,112.09,0.0,0.0,0.0,0.0,0.38,False
animal-level,111.02,0.0,0.0,0.0,0.0,0.208,False
animal-level,116.3,0.0,0.0,0.0,0.0,0.0,False
